DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Breast cancer	SPRY4-IT1	ZNF703	positively-E	qPCR;RNAi	upregulation	qPCR;microarray	GSE62507	GSE62507.zip	cell proliferation(+);apoptosis process(-)	transcriptional regulation	binding/interaction	RNA-DNA	NA	NA	Tissue Invasion and Metastasis	Cancer	Breast cancer	lncRNA	PCG	NA	GRCh38_5:142317636-142318322	ENSG00000183779	NA	100642175	80139	SPRIGHTLY	NLZ1|ZEPPO1|ZNF503L|ZPO1	The long noncoding RNA SPRY4-IT1 increases the proliferation of human breast cancer cells by upregulating ZNF703 expression.The knockdown of SPRY4-IT1 significantly suppressed proliferation and caused apoptosis of breast cancer cells in vitro. Furthermore, we discovered that ZNF703 was a target of SPRY4-IT1 and was downregulated by SPRY4-IT1 knockdown.	25742952	RID01964	transcriptional regulation
Osteosarcoma	HOTAIR	MMP2	positively-E	IHC	upregulation	qPCR	NA	NA	cell proliferation(+);cell invasion(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000087245	NA	100124700	4313	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	CLG4|CLG4A|MMP-2|MMP-II|MONA|TBE-1	Overexpression of Long Non-Coding RNA HOTAIR Promotes Tumor Growth and Metastasis in Human Osteosarcoma.experiments demonstrated that knockdown of HOTAIR could notably suppress cellular proliferation, inhibit invasion and decrease the secretion of MMP2 and MMP9 in osteosarcoma.	25728753	RID01965	expression association
Osteosarcoma	HOTAIR	MMP9	positively-E	IHC	upregulation	qPCR	NA	NA	cell proliferation(+);cell invasion(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000100985	NA	100124700	4318	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	CLG4B|GELB|MANDP2|MMP-9	Overexpression of Long Non-Coding RNA HOTAIR Promotes Tumor Growth and Metastasis in Human Osteosarcoma.experiments demonstrated that knockdown of HOTAIR could notably suppress cellular proliferation, inhibit invasion and decrease the secretion of MMP2 and MMP9 in osteosarcoma.	25728753	RID01966	expression association
Osteoporosis	DANCR	IL6	positively-E	RNAi	upregulation	qPCR	NA	NA	biomarker(+)	NA	association	NA	NA	NA	NA	Musculoskeletal system disease	Bone disease	lncRNA	PCG	ENSG00000226950	GRCh38_4:52712404-52720351	ENSG00000136244	NA	57291	3569	AGU2|ANCR|KIAA0114|SNHG13|lncRNA-ANCR	BSF-2|BSF2|CDF|HGF|HSF|IFN-beta-2|IFNB2|IL-6	Long non-coding RNA-DANCR in human circulating monocytes: a potential biomarker associated with postmenopausal osteoporosis. we found significant upregulation of DANCR in the blood mononuclear cells (MNCs) from low-BMD patients with the qRT-PCR analyses. We further found that DANCR promoted the expression of IL6 and TNF-alpha at both mRNA level and protein level in MNCs. Furthermore, we found that DANCR-induced IL6 and TNF-alpha in MNCs had bone-resorbing activity. These results indicate that DANCR is involved in the pathology of osteoporosis and may be as a biomarker for postmenopausal osteoporosis.	25660720	RID01967	expression association
Osteoporosis	DANCR	TNF	positively-E	RNAi	upregulation	qPCR	NA	NA	biomarker(+)	NA	association	NA	NA	NA	NA	Musculoskeletal system disease	Bone disease	lncRNA	PCG	ENSG00000226950	GRCh38_4:52712404-52720351	ENSG00000232810	NA	57291	7124	AGU2|ANCR|KIAA0114|SNHG13|lncRNA-ANCR	DIF|TNF-alpha|TNFA|TNFSF2|TNLG1F	Long non-coding RNA-DANCR in human circulating monocytes: a potential biomarker associated with postmenopausal osteoporosis. we found significant upregulation of DANCR in the blood mononuclear cells (MNCs) from low-BMD patients with the qRT-PCR analyses. We further found that DANCR promoted the expression of IL6 and TNF-alpha at both mRNA level and protein level in MNCs.	25660720	RID01968	expression association
Malignant glioma	LINC-ROR	PROM1	negatively-E	RNAi	downregulation	qPCR	NA	NA	cell proliferation(-);self-renewal(-)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Self Sufficiency in Growth Signals	Cancer	Brain glioma	lncRNA	PCG	ENSG00000258609	GRCh38_18:57054558-57072119	ENSG00000007062	NA	100885779	8842	ROR|lincRNA-RoR|lincRNA-ST8SIA3	NA	Expression and Functional Role of Reprogramming-Related Long Noncoding RNA (lincRNA-ROR) in Glioma. To explore its functional role, gain- and loss-of-function studies were performed to assess the effect of lincRNA-ROR on cell proliferation, expression rate of GSCs marker CD133, and glioma stem sphere-forming ability in vitro. We found that the lincRNA-ROR expression was significantly lower in glioma tissues than in adjacent normal tissues. Knockdown of lincRNA-ROR expression by small hairpin RNA (shRNA) significantly elevated the cell proliferation and enhanced the CD133 expression rate and glioma stem sphere-forming ability in U87 cells, while overexpression of lincRNA-ROR in U87 cells showed the opposite effect.	25651893	RID01969	expression association
Malignant glioma	LINC-ROR	KLF4	negatively-E	RNAi	downregulation	qPCR	NA	NA	cell proliferation(-);self-renewal(-)	NA	association	NA	NA	CSC	Insensitivity to Antigrowth Signals;Self Sufficiency in Growth Signals	Cancer	Brain glioma	lncRNA	TF	ENSG00000258609	GRCh38_18:57054558-57072119	ENSG00000136826	NA	100885779	9314	ROR|lincRNA-RoR|lincRNA-ST8SIA3	EZF|GKLF	Expression and Functional Role of Reprogramming-Related Long Noncoding RNA (lincRNA-ROR) in Glioma. Moreover, we found that the expression of lincRNA-ROR was negatively correlated with stem cell factor KLF4 and the up- and down-regulation of lincRNA-ROR resulted in inverse modulation of KLF4 messenger RNA (mRNA) expression. Our results suggest that the reprogramming-related lincRNA-ROR may serve as a novel tumor suppressor gene in glioma, which can inhibit the proliferation of cancer cell and self-renewal of GSCs, partly by inhibiting the KLF4 expression.	25651893	RID01970	expression association
Esophagus squamous cell carcinoma	CDKN2B-AS1	TERT	negatively-E	western blot;RNAi	downregulation	qPCR	NA	NA	chemosensitivity(+);cell proliferation(-)	NA	regulation	NA	beta-Elemene	NA	Insensitivity to Antigrowth Signals	Cancer	Esophageal cancer	lncRNA	PCG	ENSG00000240498	GRCh38_9:21994139-22128103	ENSG00000164362	NA	100048912	7015	ANRIL|CDKN2B-AS|CDKN2BAS|NCRNA00089|PCAT12|p15AS	CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT	beta-Elemene inhibits the proliferation of esophageal squamous cell carcinoma by regulating long noncoding RNA-mediated inhibition of hTERT expression. It was also shown by flow cytometry that, compared with the scramble-treated group (negative control), the proliferation index value of ECA-109 cells in the si-CDKN2B-AS1 treatment group was notably increased (25.7 vs. 51.7%) and the TERT protein level was increased by 67.25% after the cells were treated with si-CDKN2B-AS1. The chemotherapeutic drug beta-elemene suppressed the proliferation of esophageal carcinoma ECA-109 cells by regulating the inhibition of hTERT expression by lncRNA CDKN2B-AS1.	25646744;30223861	RID01971	expression association
Liver cancer	HULC	CLOCK	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Liver cancer	lncRNA	TF	ENSG00000285219	GRCh38_6:8435568-9294133	ENSG00000134852	NA	728655	9575	HCCAT1|LINC00078|NCRNA00078	KAT13D|bHLHe8	A long noncoding RNA perturbs the circadian rhythm of hepatoma cells to facilitate hepatocarcinogenesis. our data show that an lncRNA, HULC, is responsible for the perturbations in circadian rhythm through upregulating circadian oscillator CLOCK in hepatoma cells, resulting in the promotion of hepatocarcinogenesis. our data exhibited that CLOCK was implicated in the HULC-accelerated proliferation of hepatoma cells in vitro and in vivo.	25622901	RID01972	expression association
Hepatocellular carcinoma	HULC	PPARA	positively-E	luciferase reporter assay	upregulation	qPCR	NA	NA	lipid metabolic process(-);RXRA signaling pathway(+)	NA	regulation	NA	NA	NA	NA	Cancer	Liver cancer	lncRNA	TF	ENSG00000285219	GRCh38_6:8435568-9294133	ENSG00000186951	NA	728655	5465	HCCAT1|LINC00078|NCRNA00078	NR1C1|PPAR|PPARalpha|hPPAR	Long noncoding RNA HULC modulates abnormal lipid metabolism in hepatoma cells through an miR-9-mediated RXRA signaling pathway. Mechanistic investigations showed that HULC upregulated the transcriptional factor PPARA, which activated the ACSL1 promoter in hepatoma cells.HULC also suppressed miR-9 targeting of PPARA mRNA by eliciting methylation of CpG islands in the miR-9 promoter.Overall, we concluded that HULC functions as an oncogene in hepatoma cells, acting mechanistically by deregulating lipid metabolism through a signaling pathway involving miR-9, PPARA, and ACSL1 that is reinforced by a feed-forward pathway involving cholesterol and RXRA to drive HULC signaling.	25592151	RID01973	expression association
Hepatocellular carcinoma	HULC	ACSL1	positively-E	RNAi	upregulation	qPCR	NA	NA	lipid metabolic process(-);RXRA signaling pathway(+)	transcriptional regulation	regulation	NA	NA	NA	NA	Cancer	Liver cancer	lncRNA	PCG	ENSG00000285219	GRCh38_6:8435568-9294133	ENSG00000151726	NA	728655	2180	HCCAT1|LINC00078|NCRNA00078	ACS1|FACL1|FACL2|LACS|LACS1|LACS2	Long noncoding RNA HULC modulates abnormal lipid metabolism in hepatoma cells through an miR-9-mediated RXRA signaling pathway. Mechanistic investigations showed that HULC upregulated the transcriptional factor PPARA, which activated the ACSL1 promoter in hepatoma cells.HULC also suppressed miR-9 targeting of PPARA mRNA by eliciting methylation of CpG islands in the miR-9 promoter.Overall, we concluded that HULC functions as an oncogene in hepatoma cells, acting mechanistically by deregulating lipid metabolism through a signaling pathway involving miR-9, PPARA, and ACSL1 that is reinforced by a feed-forward pathway involving cholesterol and RXRA to drive HULC signaling.	25592151	RID01974	transcriptional regulation
Hepatocellular carcinoma	HULC	miR-9	negatively-E	luciferase reporter assay;5-aza-2'-deoxycytidine treatment	upregulation	qPCR	NA	NA	lipid metabolic process(-);RXRA signaling pathway(+)	DNA methylation	regulation	NA	NA	NA	NA	Cancer	Liver cancer	lncRNA	miRNA	ENSG00000285219	GRCh38_6:8435568-9294133	NA	NA	728655	NA	HCCAT1|LINC00078|NCRNA00078	NA	Long noncoding RNA HULC modulates abnormal lipid metabolism in hepatoma cells through an miR-9-mediated RXRA signaling pathway. Mechanistic investigations showed that HULC upregulated the transcriptional factor PPARA, which activated the ACSL1 promoter in hepatoma cells.HULC also suppressed miR-9 targeting of PPARA mRNA by eliciting methylation of CpG islands in the miR-9 promoter.Overall, we concluded that HULC functions as an oncogene in hepatoma cells, acting mechanistically by deregulating lipid metabolism through a signaling pathway involving miR-9, PPARA, and ACSL1 that is reinforced by a feed-forward pathway involving cholesterol and RXRA to drive HULC signaling.	25592151	RID01975	epigenetic regulation
Hepatocellular carcinoma	RXRA	HULC	positively-E	western blot;luciferase reporter assay;mutant in binding site	upregulation	qPCR	NA	NA	lipid metabolic process(-);RXRA signaling pathway(+)	transcriptional regulation	binding/interaction	protein-DNA	NA	NA	NA	Cancer	Liver cancer	TF	lncRNA	ENSG00000186350	NA	ENSG00000285219	GRCh38_6:8435568-9294133	6256	728655	NR2B1	HCCAT1|LINC00078|NCRNA00078	Long noncoding RNA HULC modulates abnormal lipid metabolism in hepatoma cells through an miR-9-mediated RXRA signaling pathway. cholesterol addition was sufficient to upregulate HULC expression through a positive feedback loop involving the retinoid receptor RXRA, which activated the HULC promoter.Overall, we concluded that HULC functions as an oncogene in hepatoma cells, acting mechanistically by deregulating lipid metabolism through a signaling pathway involving miR-9, PPARA, and ACSL1 that is reinforced by a feed-forward pathway involving cholesterol and RXRA to drive HULC signaling.	25592151	RID01976	transcriptional regulation
Diabetes mellitus	MIAT	VEGFA	positively-E	luciferase reporter assay;RIP	upregulation	qPCR	NA	NA	angiogenesis(+)	ceRNA(miR-150-5p)	regulation	NA	NA	NA	Sustained Angiogenesis	Disease of metabolism	Diabetes mellitus	lncRNA	PCG	ENSG00000225783	GRCh38_22:26646411-26676475	ENSG00000112715	NA	440823	7422	C22orf35|GOMAFU|LINC00066|NCRNA00066|RNCR2|lncRNA-MIAT	MVCD1|VEGF|VPF	lncRNA-MIAT regulates microvascular dysfunction by functioning as a competing endogenous RNA. RNA immunoprecipitation, and in vitro studies revealed that MIAT functioned as a competing endogenous RNA, and formed a feedback loop with vascular endothelial growth factor and miR-150-5p to regulate endothelial cell function.studies revealed that MIAT knockdown obviously ameliorated diabetes mellitus-induced retinal microvascular dysfunction in vivo, and inhibited endothelial cell proliferation, migration, and tube formation in vitro. MIAT Regulates the Expression of miR-150-5p Target Gene, VEGF.This study highlights the involvement of lncRNA-MIAT in pathological angiogenesis and facilitates the development of lncRNA-directed diagnostics and therapeutics against neovascular diseases.	25587098	RID01977	ceRNA or sponge
Pancreatic neuroendocrine tumor	MEG3	MET	negatively-E	western blot;ChIP	downregulation	qPCR;microarray	NA	NA	cell proliferation(-)	transcriptional regulation	binding/interaction	RNA-DNA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Neuroendocrine tumor	lncRNA	PCG	ENSG00000214548	GRCh38_14:100779410-100861031	ENSG00000105976	NA	55384	4233	FP504|GTL2|LINC00023|NCRNA00023|PRO0518|PRO2160|onco-lncRNA-83|prebp1	AUTS9|DFNB97|HGFR|RCCP2|c-Met	Epigenetic regulation of the lncRNA MEG3 and its target c-MET in pancreatic neuroendocrine tumors. Therefore, a tumor-suppressor long noncoding RNA (MEG3) and suppressed protooncogene (c-MET) combination could elicit menin's tumor-suppressor activity. Interestingly, MEG3 and c-MET expression was also altered in human sporadic insulinomas (insulin secreting PNETs) with hypermethylation at the MEG3 promoter CRE-site coinciding with reduced MEG3 expression.Furthermore, in MIN6 mouse insulinoma cells, DNA-demethylating drugs blocked cell proliferation and activated Meg3 expression. Our data suggest that the epigenetic activation of lncRNA MEG3 and/or inactivation of c-MET could be therapeutic for treating PNETs and insulinomas.	25565142	RID01978	transcriptional regulation
Liver fibrosis	TET3	HIF1A-AS1	positively-E	western blot;RNAi	downregulation	qPCR	NA	NA	cell proliferation(-);apoptosis process(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Gastrointestinal system disease	Fibrosis	PCG	lncRNA	ENSG00000187605	NA	ENSG00000258777	GRCh38_14:61681041-61695823	200424	100750246	hCG_40738	5'aHIF-1A|5'aHIF1alpha	TET3 mediates the activation of human hepatic stellate cells via modulating the expression of long non-coding RNA HIF1A-AS1. The result hinted that TET3 activate HSCs through modulating the expression of HIF1A-AS1. To confirm this hypothesis, RNA interference was performed to silence the HIF1A-AS1. Results showed that HIF1A-AS1 silencing lead to enhancing in cell proliferation and declining apoptosis. Taken together, TET3 can mediate the activation of HSCs via modulating the expression of the long non-coding RNA HIF1A-AS1.	25550811	RID01979	expression association
Thoracoabdominal aorta aneurysm	HIF1A-AS1	CASP3	positively-E	western blot;RNAi	upregulation	qPCR	NA	NA	apoptosis process(+)	NA	association	NA	NA	NA	Evading Apoptosis	Cancer	Aortic aneurysm	lncRNA	PCG	ENSG00000258777	GRCh38_14:61681041-61695823	ENSG00000164305	NA	100750246	836	5'aHIF-1A|5'aHIF1alpha	CPP32|CPP32B|SCA-1	Regulation of apoptosis by long non-coding RNA HIF1A-AS1 in VSMCs: implications for TAA pathogenesis. In serum of TAA patients, the expression of HIF1a-AS1 was significantly increased (superior to 6 folds) compared to the normal control. We also found that transfection of cells with HIF1a-AS1 siRNA decreased the expression of caspase3 and caspase8 and increased the expression of Bcl2, and protected PA-induced cell apoptosis in VSMCs.	25550800	RID01980	expression association
Thoracoabdominal aorta aneurysm	HIF1A-AS1	CASP8	positively-E	western blot;RNAi	upregulation	qPCR	NA	NA	apoptosis process(+)	NA	association	NA	NA	NA	Evading Apoptosis	Cancer	Aortic aneurysm	lncRNA	PCG	ENSG00000258777	GRCh38_14:61681041-61695823	ENSG00000064012	NA	100750246	841	5'aHIF-1A|5'aHIF1alpha	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Regulation of apoptosis by long non-coding RNA HIF1A-AS1 in VSMCs: implications for TAA pathogenesis. In serum of TAA patients, the expression of HIF1a-AS1 was significantly increased (superior to 6 folds) compared to the normal control. We also found that transfection of cells with HIF1a-AS1 siRNA decreased the expression of caspase3 and caspase8 and increased the expression of Bcl2, and protected PA-induced cell apoptosis in VSMCs.	25550800	RID01981	expression association
Thoracoabdominal aorta aneurysm	HIF1A-AS1	BCL2	negatively-E	western blot;RNAi	upregulation	qPCR	NA	NA	apoptosis process(+)	NA	association	NA	NA	NA	Evading Apoptosis	Cancer	Aortic aneurysm	lncRNA	PCG	ENSG00000258777	GRCh38_14:61681041-61695823	ENSG00000171791	NA	100750246	596	5'aHIF-1A|5'aHIF1alpha	Bcl-2|PPP1R50	Regulation of apoptosis by long non-coding RNA HIF1A-AS1 in VSMCs: implications for TAA pathogenesis. In serum of TAA patients, the expression of HIF1a-AS1 was significantly increased (superior to 6 folds) compared to the normal control. We also found that transfection of cells with HIF1a-AS1 siRNA decreased the expression of caspase3 and caspase8 and increased the expression of Bcl2, and protected PA-induced cell apoptosis in VSMCs.	25550800	RID01982	expression association
Esophagus squamous cell carcinoma	miR-101-3p	MALAT1	negatively-F	luciferase reporter assay	downregulation	qPCR	NA	NA	cell proliferation(-);cell migration(-);cell invasion(-)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Esophageal cancer	miRNA	lncRNA	NA	NA	ENSG00000251562	GRCh38_11:65497688-65506516	NA	378938	NA	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	Silencing of long noncoding RNA MALAT1 by miR-101 and miR-217 inhibits proliferation, migration, and invasion of esophageal squamous cell carcinoma cells. In this study we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells. This posttranscriptional silencing of MALAT1 could significantly suppress the proliferation of ESCC cells through the arrest of G2/M cell cycle, which may be due to MALAT1-mediated up-regulation of p21 and p27 expression and the inhibition of B-MYB expression.	25538231	RID01983	ceRNA or sponge
Esophagus squamous cell carcinoma	miR-217	MALAT1	negatively-F	luciferase reporter assay	downregulation	qPCR	NA	NA	cell proliferation(-);cell migration(-);cell invasion(-)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Esophageal cancer	miRNA	lncRNA	NA	NA	ENSG00000251562	GRCh38_11:65497688-65506516	NA	378938	NA	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	Silencing of long noncoding RNA MALAT1 by miR-101 and miR-217 inhibits proliferation, migration, and invasion of esophageal squamous cell carcinoma cells. In this study we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells. This posttranscriptional silencing of MALAT1 could significantly suppress the proliferation of ESCC cells through the arrest of G2/M cell cycle, which may be due to MALAT1-mediated up-regulation of p21 and p27 expression and the inhibition of B-MYB expression.	25538231	RID01984	ceRNA or sponge
Esophagus squamous cell carcinoma	MALAT1	CDKN1A	negatively-E	western blot;RNAi	upregulation	qPCR	NA	NA	cell proliferation(-)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Esophageal cancer	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000124762	NA	378938	1026	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	Silencing of long noncoding RNA MALAT1 by miR-101 and miR-217 inhibits proliferation, migration, and invasion of esophageal squamous cell carcinoma cells. In this study we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells. This posttranscriptional silencing of MALAT1 could significantly suppress the proliferation of ESCC cells through the arrest of G2/M cell cycle, which may be due to MALAT1-mediated up-regulation of p21 and p27 expression and the inhibition of B-MYB expression.	25538231	RID01985	expression association
Esophagus squamous cell carcinoma	MALAT1	DCTN6	negatively-E	western blot;RNAi	upregulation	qPCR	NA	NA	cell proliferation(-)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Esophageal cancer	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000104671	NA	378938	10671	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	WS-3|WS3|p27	Silencing of long noncoding RNA MALAT1 by miR-101 and miR-217 inhibits proliferation, migration, and invasion of esophageal squamous cell carcinoma cells. In this study we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells. This posttranscriptional silencing of MALAT1 could significantly suppress the proliferation of ESCC cells through the arrest of G2/M cell cycle, which may be due to MALAT1-mediated up-regulation of p21 and p27 expression and the inhibition of B-MYB expression.	25538231	RID01986	expression association
Esophagus squamous cell carcinoma	MALAT1	MYBL2	positively-E	western blot;RNAi	upregulation	qPCR	NA	NA	cell proliferation(-)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Esophageal cancer	lncRNA	TF	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000101057	NA	378938	4605	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	B-MYB|BMYB	Silencing of long noncoding RNA MALAT1 by miR-101 and miR-217 inhibits proliferation, migration, and invasion of esophageal squamous cell carcinoma cells. In this study we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells. This posttranscriptional silencing of MALAT1 could significantly suppress the proliferation of ESCC cells through the arrest of G2/M cell cycle, which may be due to MALAT1-mediated up-regulation of p21 and p27 expression and the inhibition of B-MYB expression.	25538231	RID01987	expression association
Urinary bladder cancer	MDC1-AS1	MDC1	positively-E	RNAi	downregulation	qPCR;microarray	NA	NA	tumor-suppressive function(+)	NA	regulation	NA	NA	NA	NA	Cancer	Urinary bladder cancer	lncRNA	PCG	ENSG00000224328	GRCh38_6:30703067-30713184	ENSG00000137337	NA	106478956	9656	MDC1-AS	NFBD1	A novel antisense long noncoding RNA regulates the expression of MDC1 in bladder cancer. we found that the expression levels of MDC1-AS and MDC1 was down-regulated in bladder cancer. After over-expression of MDC1-AS, increased levels of MDC1 were observed in bladder cancer cells. We also found a remarkably inhibitory role of antisense lncRNA MDC1-AS on malignant cell behaviors in bladder cancer cells EJ and T24. Subsequently, knockdown of MDC1 revealed that suppressing role of MDC1-AS was attributed to up-regulation of MDC1. In summary, we have identified a novel antisense lncRNA MDC1-AS, which may participate in bladder cancer through up-regulation of its antisense tumor-suppressing gene MDC1.	25514464	RID01988	expression association
Prostate cancer	PCGEM1	AR	positively-E	RNAi	upregulation	qPCR	NA	NA	tumorigenesis(+);metabolic process(+)	NA	regulation	NA	NA	NA	NA	Cancer	Prostate cancer	lncRNA	TF	ENSG00000227418	GRCh38_2:192749845-192776899	ENSG00000169083	NA	64002	367	LINC00071|NCRNA00071|PCAT9	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	A long noncoding RNA connects c-Myc to tumor metabolism. In prostate cancer, prostate cancer gene expression marker 1 (PCGEM1) is an androgen-induced prostate-specific lncRNA whose overexpression is highly associated with prostate tumors. PCGEM1's tumorigenic potential has been recently shown to be in part due to its ability to activate androgen receptor (AR).Together, our data uncover PCGEM1 as a key transcriptional regulator of central metabolic pathways in prostate cancer cells. By being a coactivator for both c-Myc and AR, PCGEM1 reprograms the androgen network and the central metabolism in a tumor-specific way, making it a promising target for therapeutic intervention.	25512540	RID01989	expression association
Prostate cancer	PCGEM1	MYC	positively-E	RIP;ChIP	upregulation	qPCR	NA	NA	cell growth(+);metabolic process(+)	transcriptional regulation	binding/interaction	RNA-DNA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals	Cancer	Prostate cancer	lncRNA	TF	ENSG00000227418	GRCh38_2:192749845-192776899	ENSG00000136997	NA	64002	4609	LINC00071|NCRNA00071|PCAT9	MRTL|MYCC|bHLHe39|c-Myc	A long noncoding RNA connects c-Myc to tumor metabolism. we report a novel function of PCGEM1 that provides growth advantages for cancer cells by regulating tumor metabolism via c-Myc activation. PCGEM1 binds directly to target promoters, physically interacts with c-Myc, promotes chromatin recruitment of c-Myc, and enhances its transactivation activity.our data uncover PCGEM1 as a key transcriptional regulator of central metabolic pathways in prostate cancer cells.Together, our data uncover PCGEM1 as a key transcriptional regulator of central metabolic pathways in prostate cancer cells. By being a coactivator for both c-Myc and AR, PCGEM1 reprograms the androgen network and the central metabolism in a tumor-specific way, making it a promising target for therapeutic intervention.	25512540	RID01990	transcriptional regulation
Hepatocellular carcinoma	LINC00974	KRT19	positively-E	western blot;RIP	upregulation	qPCR	NA	NA	cell growth(-);cell metastasis(-)	ceRNA(miR-642a-5p)	regulation	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Liver cancer	lncRNA	PCG	ENSG00000226629	GRCh38_17:41549606-41554495	ENSG00000171345	NA	147093	3880	NA	CK19|K19|K1CS	A novel biomarker Linc00974 interacting with KRT19 promotes proliferation and metastasis in hepatocellular carcinoma.We further investigated the interaction pattern of Linc00974 and KRT19. MiR-642 was identified, by acting as the competing endogenous RNA in regulating Linc00974 and KRT19. Linc00974 was increased owing to an abnormal hypomethylation promoter, which induced the upregulation of KRT19 via ceRNA interaction, resulting in the activation of the Notch and TGF-beta pathways as detected by cDNA microarray.	25476897	RID01991	ceRNA or sponge
Osteosarcoma	MALAT1	PCNA	positively-E	western blot;RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell metastasis(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000132646	NA	378938	5111	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	ATLD2	MALAT1 promotes the proliferation and metastasis of osteosarcoma cells by activating the PI3K/Akt pathway. In our research, the MALAT1 messenger RNA (mRNA) was highly expressed in human osteosarcoma tissues, and its expression level was closely correlated with pulmonary metastasis. Knockdown of MALAT1 inhibited the proliferation and invasion of human osteosarcoma cell and suppressed its metastasis in vitro and vivo. At the same time, the proliferating cell nuclear antigen (PCNA), matrix metallopeptidase 9 (MMP-9), phosphorylated PI3Kp85alpha, and Akt expressions were significantly inhibited in MALAT1-deleted cells. Knockdown of MALAT1 inhibited the proliferation and invasion of human osteosarcoma cell and suppressed its metastasis in vitro and vivo. At the same time, the proliferating cell nuclear antigen (PCNA), matrix metallopeptidase 9 (MMP-9), phosphorylated PI3Kp85alpha, and Akt expressions were significantly inhibited in MALAT1-deleted cells. These findings indicated that MALAT1 might suppress the tumor growth and metastasis via PI3K/AKT signaling pathway.	25431257	RID01992	expression association
